Id,distance,Data/AMIA/4CNN-4MHA.rels,Data/AMIA/TEES.rels
d0.s0.0.6,6,TP,TP
d0.s0.0.4,4,TP,TP
d0.s1.16.21,5,FN,TP
d0.s1.16.23,7,FN,FN
d0.s3.12.17,5,TP,TP
d0.s4.0.5,5,TP,TP
d1.s2.0.3,3,TP,TP
d1.s10.4.5,1,TP,TP
d2.s1.1.9,8,FN,FN
d2.s1.9.25,16,FN,FN
d2.s2.8.17,9,FN,FN
d2.s2.6.17,11,FN,FN
d2.s2.3.17,14,FN,FN
d2.s3.6.14,8,TP,TP
d2.s4.6.10,4,TP,TP
d2.s5.3.19,16,FN,FN
d2.s14.40.48,8,FN,FN
d2.s14.9.13,4,TP,TP
d3.s6.26.30,4,FN,TP
d3.s6.26.28,2,TP,TP
d6.s3.12.26,14,FN,FN
d6.s3.12.22,10,FN,FN
d6.s3.12.24,12,FN,FN
d7.s9.28.29,1,TP,TP
d9.s10.13.15,2,TP,TP
d9.s10.13.17,4,TP,TP
d11.s6.18.21,3,TP,TP
d11.s6.17.21,4,TP,TP
d15.s6.5.6,1,TP,TP
d16.s3.2.7,5,TP,TP
d16.s3.2.9,7,TP,TP
d16.s3.2.12,10,TP,TP
d16.s3.2.5,3,TP,TP
d16.s5.7.9,2,TP,TP
d16.s6.3.4,1,TP,TP
d16.s7.7.8,1,TP,TP
d17.s6.24.29,5,FN,FN
d17.s6.24.31,7,TP,FN
d17.s6.24.27,3,TP,TP
d17.s9.2.6,4,TP,TP
d17.s9.2.10,8,TP,TP
d17.s9.2.14,12,TP,TP
d19.s0.10.13,3,TP,TP
d19.s1.17.20,3,TP,TP
d19.s2.13.14,1,TP,TP
d19.s3.14.22,8,TP,TP
d19.s7.3.4,1,TP,TP
d19.s9.4.5,1,TP,TP
d20.s0.7.8,1,TP,TP
d20.s1.4.5,1,TP,TP
d20.s2.3.6,3,TP,TP
d20.s3.23.26,3,TP,FN
d20.s3.21.26,5,FN,FN
d20.s3.19.26,7,FN,FN
d20.s3.17.26,9,FN,FN
d20.s6.10.12,2,TP,TP
d20.s7.30.31,1,TP,TP
d20.s8.17.19,2,TP,TP
d20.s8.42.43,1,TP,TP
d21.s0.1.4,3,TP,TP
d21.s2.5.8,3,TP,TP
d21.s3.1.2,1,TP,TP
d21.s7.7.8,1,TP,TP
d24.s0.11.12,1,TP,TP
d24.s4.4.6,2,TP,TP
d24.s5.18.19,1,TP,TP
d24.s13.14.16,2,TP,TP
d24.s13.14.18,4,TP,FN
d24.s13.49.50,1,TP,TP
d24.s13.50.61,11,FN,FN
d25.s4.6.8,2,TP,TP
d25.s4.6.10,4,TP,TP
d25.s4.6.12,6,TP,TP
d25.s4.6.14,8,TP,TP
d25.s7.10.19,9,FN,FN
d25.s7.10.21,11,FN,FN
d25.s7.10.23,13,FN,FN
d25.s10.2.4,2,TP,TP
d25.s12.26.29,3,TP,TP
d25.s13.37.46,9,FN,FN
d25.s14.7.8,1,TP,TP
d25.s14.14.15,1,TP,TP
d25.s15.13.15,2,TP,TP
d27.s3.7.10,3,TP,TP
d27.s3.7.10,3,TP,TP
d27.s3.7.10,3,TP,TP
d27.s3.7.10,3,TP,TP
d27.s6.12.15,3,TP,TP
d27.s6.12.15,3,TP,TP
d27.s6.12.15,3,TP,TP
d27.s6.12.15,3,TP,TP
d27.s12.4.7,3,TP,TP
d27.s12.4.7,3,TP,TP
d27.s12.4.7,3,TP,TP
d27.s12.4.7,3,TP,TP
d28.s7.19.22,3,TP,TP
d32.s0.4.5,1,TP,TP
d32.s2.3.4,1,TP,TP
d32.s7.3.4,1,TP,TP
d32.s12.1.2,1,TP,TP
d35.s0.15.16,1,TP,TP
d35.s3.26.31,5,FN,TP
d35.s5.0.2,2,TP,TP
d35.s5.5.7,2,TP,TP
d35.s7.17.18,1,TP,TP
d35.s8.20.21,1,TP,TP
d36.s4.34.39,5,FN,FN
d36.s7.15.17,2,TP,TP
d37.s6.25.31,6,FN,FN
d37.s6.29.31,2,TP,TP
d39.s5.4.11,7,TP,FN
d41.s7.0.2,2,TP,TP
d41.s8.0.1,1,TP,TP
d41.s10.0.2,2,TP,TP
d41.s11.7.8,1,TP,TP
d41.s12.2.3,1,TP,TP
d41.s13.1.2,1,TP,TP
d41.s13.15.16,1,TP,TP
d41.s15.23.24,1,TP,TP
d41.s15.21.24,3,TP,FN
d41.s15.3.4,1,TP,TP
d41.s15.1.4,3,TP,FN
d44.s1.19.21,2,TP,TP
d44.s3.6.6,0,TP,TP
d44.s3.4.6,2,FN,TP
d44.s5.20.24,4,FN,FN
d44.s5.20.26,6,FN,FN
d44.s5.20.28,8,TP,FN
d44.s5.20.31,11,FN,FN
d44.s6.45.56,11,FN,FN
