Distance,Data/CP17/1MHA_split.rels Accum. Recall,TP,FN,Data/CP17/TEES_split.rels Accum. Recall,TP,FN

1,0.00,0,5,0.00,0,5
2,0.35,65,123,0.35,66,122
3,0.31,135,296,0.32,137,294
4,0.30,196,459,0.29,191,464
5,0.28,248,653,0.27,242,659
6,0.27,309,842,0.26,303,848
7,0.26,358,1033,0.25,352,1039
8,0.25,412,1232,0.24,397,1247
9,0.24,457,1418,0.24,441,1434
10,0.24,492,1582,0.23,473,1601
11,0.24,534,1738,0.23,515,1757
12,0.23,560,1873,0.22,540,1893
13,0.23,594,2020,0.22,571,2043
14,0.22,617,2144,0.21,592,2169
15,0.22,650,2246,0.21,621,2275
16,0.22,666,2357,0.21,634,2389
17,0.22,682,2464,0.21,649,2497
18,0.21,696,2548,0.20,660,2584
19,0.21,710,2633,0.20,672,2671
20,0.21,720,2698,0.20,681,2737
21,0.21,729,2767,0.20,691,2805
22,0.21,738,2823,0.20,700,2861
23,0.21,744,2864,0.20,705,2903
24,0.20,748,2915,0.19,708,2955
25,0.20,753,2951,0.19,713,2991
26,0.20,759,2988,0.19,719,3028
27,0.20,760,3015,0.19,720,3055
28,0.20,765,3044,0.19,722,3087
29,0.20,766,3069,0.19,724,3111
30,0.20,769,3098,0.19,726,3141
31,0.20,769,3112,0.19,726,3155
32,0.20,769,3136,0.19,726,3179
33,0.20,770,3152,0.19,727,3195
34,0.20,772,3166,0.18,728,3210
35,0.20,775,3179,0.18,731,3223
36,0.20,775,3192,0.18,731,3236
37,0.20,776,3201,0.18,732,3245
38,0.19,776,3208,0.18,732,3252
39,0.19,776,3216,0.18,732,3260
40,0.19,776,3223,0.18,732,3267
41,0.19,776,3233,0.18,732,3277
42,0.19,776,3238,0.18,733,3281
43,0.19,776,3245,0.18,733,3288
44,0.19,776,3249,0.18,734,3291
45,0.19,776,3256,0.18,734,3298
46,0.19,776,3261,0.18,734,3303
47,0.19,776,3267,0.18,734,3309
48,0.19,776,3273,0.18,734,3315
49,0.19,777,3274,0.18,734,3317
50,0.19,777,3276,0.18,734,3319
51,0.19,777,3279,0.18,734,3322
52,0.19,777,3280,0.18,734,3323
53,0.19,777,3282,0.18,734,3325
54,0.19,777,3283,0.18,734,3326
55,0.19,777,3286,0.18,734,3329
57,0.19,777,3289,0.18,734,3332
59,0.19,777,3291,0.18,734,3334
64,0.19,777,3292,0.18,734,3335
66,0.19,777,3293,0.18,734,3336
133,0.19,777,3294,0.18,734,3337
137,0.19,777,3295,0.18,734,3338
