Id,distance,Data/CP17/4MHA-4CNN_split.rels,Data/CP17/TEES_split.rels
d0.s11.2.16,14,TP,TP
d0.s11.21.30,9,TP,TP
d0.s12.5.12,7,TP,TP
d0.s8.12.16,4,FP,FP
d0.s8.12.18,6,FP,FP
d0.s8.3.16,13,FP,FP
d0.s8.3.18,15,FP,FP
d0.s8.5.16,11,FP,FP
d0.s8.5.18,13,FP,FP
d0.s9.5.13,8,FP,FP
d1.s3.33.39,6,FP,FP
d10.s2.5.31,26,TP,TP
d10.s2.5.42,37,-,FP
d100.s1.7.9,2,TP,TP
d100.s3.11.13,2,TP,TP
d101.s1.13.16,3,TP,TP
d101.s1.24.27,3,-,TP
d101.s1.27.32,5,-,FP
d101.s1.32.36,4,TP,TP
d101.s1.36.41,5,-,FP
d101.s1.41.44,3,TP,TP
d101.s3.3.7,4,TP,TP
d102.s1.0.11,11,FP,FP
d102.s1.0.13,13,FP,FP
d102.s1.0.18,18,TP,TP
d102.s1.0.21,21,TP,TP
d102.s1.0.23,23,TP,TP
d102.s1.3.11,8,FP,FP
d102.s1.3.13,10,FP,FP
d102.s1.3.18,15,TP,TP
d102.s1.3.21,18,TP,TP
d102.s1.3.23,20,TP,TP
d102.s1.5.11,6,FP,FP
d102.s1.5.13,8,FP,FP
d102.s1.5.18,13,TP,TP
d102.s1.5.21,16,TP,TP
d102.s1.5.23,18,TP,TP
d102.s3.2.4,2,TP,TP
d102.s3.4.12,8,FP,FP
d102.s3.4.15,11,FP,FP
d102.s3.4.20,16,TP,TP
d102.s3.4.25,21,FP,FP
d102.s3.4.33,29,TP,TP
d103.s8.1.13,12,FP,-
d103.s8.13.22,9,FP,FP
d103.s8.5.13,8,FP,-
d103.s9.12.24,12,-,FP
d103.s9.7.24,17,FP,-
d104.s2.11.28,17,TP,TP
d104.s2.11.33,22,TP,TP
d104.s2.11.43,32,-,FP
d104.s2.3.11,8,FP,-
d104.s3.24.32,8,TP,TP
d104.s3.26.32,6,TP,TP
d104.s3.26.63,37,-,FP
d104.s3.55.63,8,-,TP
d104.s3.57.63,6,-,TP
d105.s1.4.13,9,-,FP
d105.s13.3.14,11,FP,-
d105.s15.7.17,10,-,FP
d105.s6.10.12,2,FP,FP
d105.s8.2.20,18,FP,-
d107.s7.0.16,16,FP,FP
d107.s7.0.9,9,FP,FP
d109.s0.7.8,1,FP,-
d11.s0.3.6,3,FP,FP
d11.s1.31.47,16,FP,FP
d11.s1.33.47,14,FP,FP
d11.s12.19.23,4,FP,FP
d11.s12.19.39,20,FP,FP
d11.s12.19.47,28,FP,FP
d11.s12.19.49,30,FP,-
d11.s9.2.7,5,FP,FP
d110.s0.3.8,5,FP,FP
d110.s0.6.8,2,FP,FP
d110.s10.2.21,19,FP,-
d110.s10.2.23,21,FP,-
d110.s2.28.33,5,FP,FP
d110.s3.32.39,7,FP,FP
d110.s4.2.7,5,FP,FP
d110.s4.2.9,7,FP,FP
d110.s7.12.16,4,FP,FP
d110.s7.12.18,6,FP,FP
d110.s7.12.24,12,FP,FP
d110.s9.2.14,12,FP,FP
d110.s9.2.9,7,FP,FP
d111.s5.25.46,21,FP,-
d111.s5.35.46,11,FP,FP
d112.s1.0.33,33,TP,TP
d112.s1.0.35,35,TP,TP
d112.s2.1.11,10,TP,TP
d112.s6.2.22,20,FP,FP
d112.s6.2.8,6,TP,TP
d112.s8.4.6,2,FP,-
d113.s14.12.15,3,FP,FP
d113.s2.0.11,11,TP,TP
d113.s2.0.14,14,TP,TP
d113.s5.8.9,1,FP,FP
d113.s6.8.15,7,-,FP
d114.s0.5.11,6,FP,FP
d114.s4.12.15,3,FP,FP
d115.s0.2.12,10,FP,-
d115.s1.0.20,20,FP,-
d115.s1.0.5,5,TP,TP
d117.s0.0.4,4,TP,TP
d117.s0.0.8,8,TP,TP
d117.s1.0.11,11,TP,TP
d117.s1.0.9,9,TP,TP
d117.s1.2.11,9,TP,-
d117.s1.2.9,7,TP,-
d117.s3.11.19,8,FP,-
d117.s4.9.15,6,TP,TP
d117.s5.45.57,12,TP,-
d119.s13.4.53,49,-,FP
d119.s14.2.21,19,FP,FP
d119.s14.2.23,21,FP,FP
d119.s14.4.21,17,FP,FP
d119.s14.4.23,19,FP,FP
d120.s11.3.15,12,FP,FP
d120.s11.3.26,23,-,FP
d121.s1.0.12,12,FP,FP
d121.s1.0.17,17,FP,FP
d121.s1.0.20,20,FP,FP
d122.s4.2.30,28,FP,FP
d124.s5.13.15,2,TP,TP
d126.s1.1.8,7,TP,TP
d126.s1.3.8,5,TP,TP
d127.s0.6.9,3,TP,TP
d128.s14.19.25,6,-,TP
d128.s6.1.45,44,TP,TP
d128.s6.3.45,42,TP,TP
d128.s7.1.26,25,FP,FP
d128.s7.10.26,16,FP,FP
d128.s7.12.26,14,FP,FP
d128.s7.14.26,12,FP,FP
d128.s7.17.26,9,FP,FP
d128.s7.19.26,7,FP,FP
d129.s7.0.6,6,FP,FP
d13.s14.8.12,4,TP,TP
d13.s15.11.14,3,TP,TP
d13.s15.17.24,7,TP,-
d13.s4.11.22,11,-,TP
d13.s6.26.29,3,TP,TP
d13.s7.5.15,10,FP,-
d13.s7.5.27,22,TP,TP
d130.s1.0.10,10,FP,FP
d130.s1.0.12,12,FP,FP
d130.s1.2.10,8,FP,FP
d130.s1.2.12,10,FP,FP
d130.s1.4.10,6,FP,FP
d130.s1.4.12,8,FP,FP
d131.s10.0.11,11,FP,FP
d131.s10.0.20,20,FP,FP
d131.s10.0.8,8,FP,FP
d131.s3.10.13,3,FP,FP
d131.s3.13.27,14,FP,FP
d131.s5.0.4,4,FP,FP
d131.s6.15.24,9,FP,-
d131.s6.4.15,11,FP,FP
d131.s8.0.2,2,FP,FP
d132.s0.4.7,3,TP,TP
d132.s0.7.12,5,TP,TP
d132.s1.8.10,2,FP,FP
d132.s4.10.19,9,TP,TP
d132.s4.10.24,14,TP,TP
d132.s4.10.26,16,TP,TP
d132.s5.3.7,4,FP,FP
d132.s6.10.12,2,TP,TP
d132.s6.10.25,15,FP,FP
d132.s6.10.42,32,-,FP
d134.s4.15.25,10,FP,FP
d134.s4.15.31,16,FP,FP
d135.s1.0.6,6,TP,TP
d135.s1.6.22,16,FP,-
d135.s11.10.17,7,FP,FP
d135.s11.4.17,13,FP,FP
d135.s11.7.17,10,FP,FP
d135.s18.26.30,4,-,TP
d135.s18.3.10,7,FP,FP
d135.s2.12.17,5,FP,FP
d136.s0.3.10,7,FP,FP
d136.s11.3.37,34,-,FP
d136.s11.3.7,4,FP,FP
d136.s11.37.41,4,FP,FP
d136.s11.37.46,9,-,FP
d136.s14.6.10,4,FP,FP
d136.s16.0.5,5,FP,FP
d136.s16.5.16,11,FP,FP
d136.s2.7.11,4,FP,FP
d136.s2.7.13,6,FP,FP
d136.s4.0.3,3,FP,FP
d136.s4.0.5,5,FP,FP
d136.s5.4.17,13,FP,-
d136.s5.4.26,22,FP,FP
d138.s0.5.12,7,TP,TP
d138.s1.1.11,10,TP,TP
d138.s1.3.11,8,TP,TP
d138.s3.0.26,26,TP,TP
d139.s0.3.9,6,TP,TP
d139.s6.0.10,10,FP,FP
d139.s6.0.18,18,FP,FP
d139.s6.7.10,3,FP,FP
d139.s6.7.18,11,FP,-
d139.s8.14.16,2,-,TP
d14.s1.9.13,4,TP,TP
d14.s3.3.6,3,TP,TP
d14.s4.1.4,3,TP,TP
d14.s5.17.19,2,TP,TP
d14.s5.6.8,2,TP,TP
d14.s6.1.3,2,TP,TP
d140.s1.10.16,6,TP,TP
d140.s1.26.28,2,TP,TP
d140.s7.4.6,2,TP,TP
d140.s9.17.35,18,TP,-
d142.s3.2.15,13,FP,FP
d142.s3.4.15,11,FP,FP
d142.s3.7.15,8,FP,FP
d142.s3.9.15,6,FP,FP
d142.s5.7.15,8,FP,FP
d142.s5.9.15,6,FP,FP
d144.s10.10.17,7,FP,FP
d144.s10.17.25,8,FP,FP
d144.s10.17.27,10,FP,FP
d144.s11.15.18,3,FP,-
d144.s9.11.34,23,FP,FP
d144.s9.11.36,25,FP,FP
d144.s9.13.34,21,FP,FP
d144.s9.13.36,23,FP,FP
d144.s9.19.34,15,FP,FP
d144.s9.19.36,17,FP,FP
d144.s9.9.34,25,FP,FP
d144.s9.9.36,27,FP,FP
d145.s0.10.15,5,FP,FP
d145.s1.1.14,13,FP,-
d145.s1.1.20,19,FP,-
d145.s1.1.21,20,FP,FP
d145.s1.1.5,4,FP,FP
d145.s1.1.9,8,FP,FP
d145.s11.2.6,4,FP,FP
d145.s6.7.11,4,TP,-
d145.s6.7.25,18,FP,-
d145.s6.7.28,21,FP,FP
d145.s6.7.31,24,FP,-
d145.s8.27.31,4,FP,FP
d145.s8.27.33,6,FP,FP
d145.s9.0.14,14,TP,TP
d145.s9.0.20,20,TP,TP
d145.s9.0.7,7,TP,TP
d147.s0.7.14,7,FP,-
d147.s3.5.15,10,TP,-
d147.s3.5.28,23,FP,FP
d147.s3.5.30,25,FP,FP
d148.s0.0.2,2,TP,TP
d148.s2.0.10,10,FP,FP
d148.s2.0.18,18,-,FP
d148.s2.0.28,28,-,FP
d148.s2.0.34,34,-,FP
d148.s2.0.4,4,FP,FP
d148.s3.1.12,11,-,TP
d148.s3.8.12,4,TP,TP
d148.s4.2.14,12,TP,TP
d148.s4.2.8,6,FP,FP
d148.s5.11.34,23,FP,FP
d148.s5.13.34,21,FP,FP
d148.s5.20.34,14,FP,FP
d148.s5.22.34,12,FP,FP
d148.s5.24.34,10,FP,FP
d148.s5.4.34,30,FP,FP
d148.s5.4.6,2,FP,FP
d148.s5.6.11,5,FP,FP
d148.s5.6.13,7,FP,FP
d148.s5.6.20,14,FP,FP
d148.s5.6.22,16,FP,FP
d148.s5.6.24,18,FP,FP
d149.s0.0.10,10,FP,FP
d149.s0.0.12,12,FP,FP
d149.s0.0.14,14,FP,FP
d149.s0.0.8,8,FP,FP
d149.s0.2.10,8,FP,FP
d149.s0.2.12,10,FP,FP
d149.s0.2.14,12,FP,FP
