Distance,Data/CP17/4MHA-4CNN_split.rels Accum. Recall,TP,FN,Data/CP17/TEES_split.rels Accum. Recall,TP,FN

1,0.00,0,5,0.00,0,5
2,0.34,64,124,0.35,66,122
3,0.32,138,293,0.32,137,294
4,0.31,202,453,0.29,191,464
5,0.29,259,642,0.27,242,659
6,0.28,326,825,0.26,303,848
7,0.27,376,1015,0.25,352,1039
8,0.26,429,1215,0.24,397,1247
9,0.25,477,1398,0.24,441,1434
10,0.25,519,1555,0.23,473,1601
11,0.25,566,1706,0.23,515,1757
12,0.24,595,1838,0.22,540,1893
13,0.24,630,1984,0.22,571,2043
14,0.24,652,2109,0.21,592,2169
15,0.24,686,2210,0.21,621,2275
16,0.23,701,2322,0.21,634,2389
17,0.23,719,2427,0.21,649,2497
18,0.23,732,2512,0.20,660,2584
19,0.22,747,2596,0.20,672,2671
20,0.22,758,2660,0.20,681,2737
21,0.22,766,2730,0.20,691,2805
22,0.22,776,2785,0.20,700,2861
23,0.22,782,2826,0.20,705,2903
24,0.21,785,2878,0.19,708,2955
25,0.21,790,2914,0.19,713,2991
26,0.21,798,2949,0.19,719,3028
27,0.21,799,2976,0.19,720,3055
28,0.21,802,3007,0.19,722,3087
29,0.21,803,3032,0.19,724,3111
30,0.21,806,3061,0.19,726,3141
31,0.21,806,3075,0.19,726,3155
32,0.21,806,3099,0.19,726,3179
33,0.21,807,3115,0.19,727,3195
34,0.21,808,3130,0.18,728,3210
35,0.21,811,3143,0.18,731,3223
36,0.20,811,3156,0.18,731,3236
37,0.20,812,3165,0.18,732,3245
38,0.20,812,3172,0.18,732,3252
39,0.20,812,3180,0.18,732,3260
40,0.20,812,3187,0.18,732,3267
41,0.20,812,3197,0.18,732,3277
42,0.20,813,3201,0.18,733,3281
43,0.20,813,3208,0.18,733,3288
44,0.20,814,3211,0.18,734,3291
45,0.20,814,3218,0.18,734,3298
46,0.20,814,3223,0.18,734,3303
47,0.20,814,3229,0.18,734,3309
48,0.20,814,3235,0.18,734,3315
49,0.20,815,3236,0.18,734,3317
50,0.20,815,3238,0.18,734,3319
51,0.20,815,3241,0.18,734,3322
52,0.20,815,3242,0.18,734,3323
53,0.20,815,3244,0.18,734,3325
54,0.20,815,3245,0.18,734,3326
55,0.20,815,3248,0.18,734,3329
57,0.20,815,3251,0.18,734,3332
59,0.20,815,3253,0.18,734,3334
64,0.20,815,3254,0.18,734,3335
66,0.20,815,3255,0.18,734,3336
133,0.20,815,3256,0.18,734,3337
137,0.20,815,3257,0.18,734,3338
