Id,distance,Data/CP17/4MHA.rels,Data/CP17/TEES.rels
d0.s0.0.15,15,FN,FN
d0.s0.5.15,10,FN,FN
d0.s0.7.15,8,FN,FN
d0.s4.5.17,12,FN,FN
d0.s4.7.17,10,FN,FN
d0.s4.12.17,5,FN,FN
d0.s11.2.4,2,FN,FN
d0.s11.2.14,12,TP,TP
d0.s11.19.26,7,TP,TP
d0.s12.5.12,7,TP,TP
d0.s12.9.12,3,FN,FN
d3.s0.3.9,6,FN,FN
d3.s6.20.37,17,FN,FN
d3.s6.20.37,17,FN,FN
d4.s2.25.34,9,FN,FN
d4.s2.25.36,11,FN,FN
d4.s2.34.41,7,FN,TP
d4.s2.36.41,5,FN,TP
d4.s2.34.43,9,FN,TP
d4.s2.36.43,7,FN,TP
d4.s2.34.47,13,FN,FN
d4.s2.36.47,11,FN,FN
d4.s2.34.49,15,FN,TP
d4.s2.36.49,13,FN,TP
d4.s4.0.3,3,TP,FN
d4.s4.0.3,3,TP,FN
d4.s5.6.32,26,FN,FN
d4.s6.12.18,6,FN,TP
d4.s6.12.20,8,FN,TP
d4.s7.10.18,8,FN,FN
d5.s0.3.7,4,FN,FN
d6.s9.4.23,19,FN,FN
d7.s0.5.22,17,TP,TP
d7.s0.7.22,15,TP,TP
d7.s0.9.22,13,TP,TP
d7.s1.0.24,24,FN,FN
d7.s1.0.26,26,FN,FN
d7.s1.0.29,29,FN,FN
d7.s1.0.13,13,FN,FN
d7.s2.10.14,4,TP,TP
d7.s3.10.13,3,TP,FN
d7.s5.3.13,10,FN,FN
d7.s5.3.29,26,FN,FN
d7.s5.3.31,28,FN,FN
d7.s5.3.5,2,TP,TP
d7.s5.3.20,17,FN,FN
d7.s8.11.14,3,TP,TP
d7.s9.1.8,7,TP,TP
d10.s0.7.14,7,FN,FN
d10.s1.5.26,21,FN,FN
d10.s1.14.26,12,FN,FN
d10.s1.17.26,9,FN,FN
d10.s2.5.42,37,TP,TP
d10.s2.5.31,26,TP,TP
d12.s0.3.10,7,FN,FN
d12.s0.3.16,13,TP,FN
d12.s2.4.8,4,FN,FN
d12.s2.13.16,3,FN,FN
d12.s3.21.40,19,FN,FN
d12.s3.35.40,5,FN,FN
d12.s8.1.17,16,TP,FN
d13.s0.5.18,13,FN,FN
d13.s0.5.27,22,FN,FN
d13.s0.5.30,25,FN,FN
d13.s0.5.35,30,FN,FN
d13.s0.5.11,6,FN,FN
d13.s0.9.18,9,FN,FN
d13.s0.9.11,2,FN,FN
d13.s0.5.18,13,FN,FN
d13.s0.5.27,22,FN,FN
d13.s0.5.30,25,FN,FN
d13.s0.5.35,30,FN,FN
d13.s0.5.11,6,FN,FN
d13.s0.9.18,9,FN,FN
d13.s0.9.11,2,FN,FN
d13.s2.15.25,10,FN,FN
d13.s2.20.25,5,FN,FN
d13.s2.13.15,2,FN,FN
d13.s2.13.20,7,FN,FN
d13.s3.0.30,30,FN,FN
d13.s3.0.35,35,FN,FN
d13.s3.0.40,40,FN,FN
d13.s3.0.50,50,FN,FN
d13.s3.0.59,59,FN,FN
d13.s4.3.20,17,FN,FN
d13.s4.3.22,19,FN,FN
d13.s4.3.27,24,FN,FN
d13.s4.3.33,30,FN,FN
d13.s4.3.44,41,FN,FN
d13.s4.11.44,33,FN,FN
d13.s4.11.20,9,FN,FN
d13.s4.11.22,11,FN,TP
d13.s4.11.27,16,FN,FN
d13.s4.11.33,22,FN,FN
d13.s5.6.8,2,FN,FN
d13.s5.8.16,8,FN,FN
d13.s6.26.29,3,TP,TP
d13.s6.7.9,2,FN,FN
d13.s7.3.15,12,FN,FN
d13.s7.5.15,10,TP,FN
d13.s7.3.27,24,FN,FN
d13.s7.5.27,22,TP,TP
d13.s14.8.12,4,TP,TP
d13.s15.17.24,7,TP,FN
d13.s15.11.14,3,TP,TP
d14.s1.9.13,4,TP,TP
d14.s2.24.26,2,FN,FN
d14.s2.8.10,2,FN,FN
d14.s2.15.17,2,FN,FN
d14.s2.15.19,4,FN,FN
d14.s3.3.19,16,FN,FN
